timestamp,load_mw,feeder
2025-01-01 00:00:00,95.89,A
2025-01-01 00:00:00,102.82,B
2025-01-01 00:00:00,93.56,C
2025-01-01 00:00:00,109.7,D
2025-01-01 01:00:00,87.21,A
2025-01-01 01:00:00,94.25,B
2025-01-01 01:00:00,85.27,C
2025-01-01 01:00:00,94.7,D
2025-01-01 02:00:00,72.87,A
2025-01-01 02:00:00,86.06,B
2025-01-01 02:00:00,74.64,C
2025-01-01 02:00:00,92.72,D
2025-01-01 03:00:00,71.57,A
2025-01-01 03:00:00,82.91,B
2025-01-01 03:00:00,64.23,C
2025-01-01 03:00:00,81.29,D
2025-01-01 04:00:00,64.52,A
2025-01-01 04:00:00,80.01,B
2025-01-01 04:00:00,53.16,C
2025-01-01 04:00:00,67.48,D
2025-01-01 05:00:00,57.43,A
2025-01-01 05:00:00,65.72,B
2025-01-01 05:00:00,47.51,C
2025-01-01 05:00:00,62.4,D
2025-01-01 06:00:00,43.26,A
2025-01-01 06:00:00,60.21,B
2025-01-01 06:00:00,55.76,D
2025-01-01 07:00:00,46.44,A
2025-01-01 07:00:00,56.32,B
2025-01-01 07:00:00,45.43,C
2025-01-01 07:00:00,56.82,D
2025-01-01 08:00:00,47.35,A
2025-01-01 08:00:00,43.85,C
2025-01-01 08:00:00,52.93,D
2025-01-01 09:00:00,49.81,A
2025-01-01 09:00:00,67.2,B
2025-01-01 09:00:00,46.02,C
2025-01-01 09:00:00,63.84,D
2025-01-01 10:00:00,54.46,A
2025-01-01 10:00:00,70.9,B
2025-01-01 10:00:00,68.02,C
2025-01-01 10:00:00,65.32,D
2025-01-01 11:00:00,76.97,A
2025-01-01 11:00:00,83.46,B
2025-01-01 11:00:00,61.79,C
2025-01-01 11:00:00,79.21,D
2025-01-01 12:00:00,73.64,A
2025-01-01 12:00:00,99.71,B
2025-01-01 12:00:00,64.3,C
2025-01-01 12:00:00,80.57,D
2025-01-01 13:00:00,79.73,A
2025-01-01 13:00:00,98.0,B
2025-01-01 13:00:00,85.5,C
2025-01-01 13:00:00,87.04,D
2025-01-01 14:00:00,94.6,A
2025-01-01 14:00:00,110.43,B
2025-01-01 14:00:00,104.16,C
